system:index,B11,B12,B5,B6,B7,B8,Blue,Green,MSK_CLDPRB,MSK_SNWPRB,Red,SR_B1,SR_B11,SR_B12,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_B8,SR_B8A,SR_B9,cirrus,cirrus_scl,class,cloud_shadow,dark_pixel,date,hi_prob_cloud,low_prob_cloud,med_prob_cloud,mission,opaque,snow_ice,system:time_start,vol_init,water,.geo
00000000000000000336,142,114,0.0197,0.0195,0.0212,0.0201,0.0461,0.0334,0,0,0.0226,0.0376,0.0142,0.0114,0.0461,0.0334,0.0226,0.0197,0.0195,0.0212,0.0201,0.0181,0.014,0,0,openWater,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.12974948861485,47.07948322295112]}"
00000000000000000337,140,132,0.0232,0.0194,0.0175,0.0175,0.0365,0.0314,0,0,0.0244,0.036,0.014,0.0132,0.0365,0.0314,0.0244,0.0232,0.0194,0.0175,0.0175,0.0175,0.0164,0,0,openWater,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.13489975033157,47.02685245321729]}"
00000000000000000338,119,113,0.0191,0.0171,0.0156,0.016,0.0378,0.028,0,0,0.0197,0.0374,0.0119,0.0113,0.0378,0.028,0.0197,0.0191,0.0171,0.0156,0.016,0.0151,0.0136,0,0,openWater,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.19978412976027,47.01491543969722]}"
00000000000000000339,119,112,0.0182,0.0172,0.0171,0.0165,0.0374,0.0284,0,0,0.0175,0.0371,0.0119,0.0112,0.0374,0.0284,0.0175,0.0182,0.0172,0.0171,0.0165,0.0143,0.0145,0,0,openWater,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.12974948861485,47.054226874584394]}"
0000000000000000033a,109,99,0.0176,0.0159,0.0145,0.0138,0.0338,0.026,0,0,0.0167,0.035,0.0109,0.0099,0.0338,0.026,0.0167,0.0176,0.0159,0.0145,0.0138,0.0139,0.0131,0,0,openWater,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.10880509096681,47.01421090173077]}"
0000000000000000033b,52,33,0.1303,0.0585,0.0588,0.0456,0.0704,0.1045,0,0,0.1399,0.0584,0.0052,0.0033,0.0704,0.1045,0.1399,0.1303,0.0585,0.0588,0.0456,0.0335,0.0124,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.99094705461579,46.69694140267705]}"
0000000000000000033c,125,112,0.1627,0.08940000000000001,0.08560000000000001,0.0728,0.07680000000000001,0.1124,0,0,0.1663,0.0616,0.0125,0.0112,0.07680000000000001,0.1124,0.1663,0.1627,0.08940000000000001,0.08560000000000001,0.0728,0.0543,0.0198,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.93816021634508,46.681401435505784]}"
0000000000000000033d,66,59,0.1597,0.0873,0.08460000000000001,0.0687,0.07150000000000001,0.109,0,0,0.1632,0.0566,0.0066,0.0059,0.07150000000000001,0.109,0.1632,0.1597,0.0873,0.08460000000000001,0.0687,0.05,0.0169,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.89730593249344,46.688406683260745]}"
0000000000000000033e,51,46,0.1817,0.1153,0.1155,0.0935,0.0703,0.1106,0,0,0.1768,0.0568,0.0051,0.0046,0.0703,0.1106,0.1768,0.1817,0.1153,0.1155,0.0935,0.0728,0.0186,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.88245712598544,46.69076108861697]}"
0000000000000000033f,65,57,0.1847,0.1282,0.12860000000000002,0.1075,0.0727,0.1079,0,0,0.1774,0.0574,0.0065,0.0057,0.0727,0.1079,0.1774,0.1847,0.1282,0.12860000000000002,0.1075,0.0867,0.023,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.8638314608852,46.69264728836258]}"
00000000000000000340,92,55,0.1401,0.0661,0.06420000000000001,0.0528,0.0697,0.1054,0,0,0.1505,0.0551,0.0092,0.0055,0.0697,0.1054,0.1505,0.1401,0.0661,0.06420000000000001,0.0528,0.0389,0.0144,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.51724337240506,46.756916311845885]}"
00000000000000000341,90,73,0.1405,0.0649,0.0613,0.0496,0.07010000000000001,0.1089,0,0,0.1532,0.0583,0.009,0.0073,0.07010000000000001,0.1089,0.1532,0.1405,0.0649,0.0613,0.0496,0.0351,0.0153,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.51351110482335,46.757504913184945]}"
00000000000000000342,87,67,0.0609,0.0248,0.0264,0.0217,0.053900000000000003,0.0779,0,0,0.0741,0.0457,0.0087,0.0067,0.053900000000000003,0.0779,0.0741,0.0609,0.0248,0.0264,0.0217,0.0156,0.0415,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.45463759361469,46.77299583024462]}"
00000000000000000343,78,54,0.13490000000000002,0.06330000000000001,0.063,0.0492,0.06770000000000001,0.1032,0,0,0.14830000000000002,0.0578,0.0078,0.0054,0.06770000000000001,0.1032,0.14830000000000002,0.13490000000000002,0.06330000000000001,0.063,0.0492,0.0355,0.0168,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.51540176366998,46.75716156240384]}"
00000000000000000344,86,58,0.0887,0.0346,0.0347,0.0282,0.0632,0.0916,0,0,0.1045,0.0474,0.0086,0.0058,0.0632,0.0916,0.1045,0.0887,0.0346,0.0347,0.0282,0.0213,0.0247,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.54649507531568,46.75561871343933]}"
00000000000000000345,184,145,0.13190000000000002,0.0649,0.0687,0.0536,0.076,0.105,0,0,0.1353,0.0641,0.0184,0.0145,0.076,0.105,0.1353,0.13190000000000002,0.0649,0.0687,0.0536,0.043,0.0512,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.94382973153824,46.58833999652036]}"
00000000000000000346,163,143,0.1255,0.0623,0.06430000000000001,0.0504,0.07980000000000001,0.1031,0,0,0.1264,0.0826,0.0163,0.0143,0.07980000000000001,0.1031,0.1264,0.1255,0.0623,0.06430000000000001,0.0504,0.0424,0.0639,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.93979424508488,46.59021281896281]}"
00000000000000000347,473,412,0.1526,0.0905,0.099,0.0578,0.092,0.1298,8,0,0.1666,0.0857,0.0473,0.0412,0.092,0.1298,0.1666,0.1526,0.0905,0.099,0.0578,0.0804,0.07590000000000001,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.47457623217886,46.574869052237915]}"
00000000000000000348,155,121,0.123,0.0612,0.0634,0.0502,0.08070000000000001,0.1026,0,0,0.1246,0.07,0.0155,0.0121,0.08070000000000001,0.1026,0.1246,0.123,0.0612,0.0634,0.0502,0.0376,0.0221,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.93904065700686,46.58999878211225]}"
00000000000000000349,57,31,0.0811,0.0314,0.0355,0.0294,0.0469,0.0627,0,0,0.07490000000000001,0.04,0.0057,0.0031,0.0469,0.0627,0.07490000000000001,0.0811,0.0314,0.0355,0.0294,0.0174,0.0141,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.91070752891326,46.66171004525376]}"
0000000000000000034a,712,422,0.0962,0.0782,0.0863,0.07970000000000001,0.0433,0.0608,0,0,0.079,0.0305,0.0712,0.0422,0.0433,0.0608,0.079,0.0962,0.0782,0.0863,0.07970000000000001,0.0854,0.163,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.83024305040382,46.93569950948274]}"
0000000000000000034b,56,52,0.07060000000000001,0.0266,0.0272,0.0241,0.0416,0.0613,0,0,0.07250000000000001,0.0337,0.0056,0.0052,0.0416,0.0613,0.07250000000000001,0.07060000000000001,0.0266,0.0272,0.0241,0.016,0.07,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.82953405333632,46.935525604541674]}"
0000000000000000034c,135,96.5,0.0872,0.0446,0.0393,0.0426,0.05235000000000001,0.07495,0,0,0.09235,0.04265000000000001,0.0135,0.00965,0.05235000000000001,0.07495,0.09235,0.0872,0.0446,0.0393,0.0426,0.0317,0.0409,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.93513448448402,46.933898032657154]}"
0000000000000000034d,112.5,82,0.06205000000000001,0.0203,0.01895,0.01975,0.05005,0.07075000000000001,0,0,0.07070000000000001,0.03254999999999999,0.01125,0.00819999999999999,0.05005,0.07075000000000001,0.07070000000000001,0.06205000000000001,0.0203,0.01895,0.01975,0.01825,0.0718,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.91367283111379,46.9342681380446]}"
0000000000000000034e,171,103,0.079,0.029,0.0294,0.0227,0.0442,0.06670000000000001,0,0,0.07970000000000001,0.0353,0.0171,0.0103,0.0442,0.06670000000000001,0.07970000000000001,0.079,0.029,0.0294,0.0227,0.0142,0.0498,0,0,lightNearShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.82728220730434,46.93423692433722]}"
0000000000000000034f,68,61,0.0268,0.0163,0.0166,0.0139,0.0574,0.0717,0,0,0.0352,0.0449,0.0068,0.0061,0.0574,0.0717,0.0352,0.0268,0.0163,0.0166,0.0139,0.0127,0.0103,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.9307358130911,46.69721786694235]}"
00000000000000000350,54,49,0.0274,0.0136,0.0149,0.0117,0.0546,0.0722,0,0,0.0378,0.0419,0.0054,0.0049,0.0546,0.0722,0.0378,0.0274,0.0136,0.0149,0.0117,0.0097,0.0086,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.86970855607365,46.69792686400985]}"
00000000000000000351,50,42,0.0212,0.0125,0.0144,0.0114,0.0517,0.06570000000000001,0,0,0.0294,0.0387,0.005,0.0042,0.0517,0.06570000000000001,0.0294,0.0212,0.0125,0.0144,0.0114,0.0106,0.0068,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.80620649797152,46.70190884125058]}"
00000000000000000352,63,55,0.0409,0.0178,0.0187,0.0148,0.0614,0.0834,0,0,0.0538,0.0467,0.0063,0.0055,0.0614,0.0834,0.0538,0.0409,0.0178,0.0187,0.0148,0.0128,0.0093,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.76140145058649,46.71456377004026]}"
00000000000000000353,44,32,0.0263,0.0139,0.0151,0.0117,0.0563,0.0723,0,0,0.0376,0.0413,0.0044,0.0032,0.0563,0.0723,0.0376,0.0263,0.0139,0.0151,0.0117,0.0118,0.0073,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.70166287377349,46.736038800713665]}"
00000000000000000354,57,45,0.0239,0.0128,0.0129,0.0112,0.0555,0.06810000000000001,0,0,0.0319,0.0456,0.0057,0.0045,0.0555,0.06810000000000001,0.0319,0.0239,0.0128,0.0129,0.0112,0.0092,0.0056,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.5077187325549,46.76512105778423]}"
00000000000000000355,54,39,0.0174,0.0123,0.0121,0.0104,0.0468,0.0535,0,0,0.0204,0.0398,0.0054,0.0039,0.0468,0.0535,0.0204,0.0174,0.0123,0.0121,0.0104,0.0114,0.0066,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.49364135052917,46.77394115966794]}"
00000000000000000356,41,33,0.0137,0.0109,0.0114,0.0086,0.0429,0.0434,0,0,0.0168,0.0364,0.0041,0.0033,0.0429,0.0434,0.0168,0.0137,0.0109,0.0114,0.0086,0.0091,0.0076,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.38309131721215,46.81671731607365]}"
00000000000000000357,56,48,0.01395,0.0093,0.0098,0.0083,0.03865,0.0426,0,0,0.0165,0.03045,0.0056,0.0048,0.03865,0.0426,0.0165,0.01395,0.0093,0.0098,0.0083,0.0084,0.00605,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.23683726176017,46.86145547694288]}"
00000000000000000358,83.5,75.5,0.01605,0.0137,0.0153,0.01205,0.04335,0.04165,0,0,0.01845,0.03395000000000001,0.00835,0.00755,0.04335,0.04165,0.01845,0.01605,0.0137,0.0153,0.01205,0.01265,0.01275,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-91.14448481984226,46.88539639049882]}"
00000000000000000359,120,106,0.0216,0.0185,0.019,0.0164,0.05,0.05,0,0,0.0236,0.0423,0.012,0.0106,0.05,0.05,0.0236,0.0216,0.0185,0.019,0.0164,0.0177,0.017,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.61850263688095,46.632694674698996]}"
0000000000000000035a,132,122,0.0256,0.0195,0.0204,0.0189,0.0573,0.058,0,0,0.0278,0.0493,0.0132,0.0122,0.0573,0.058,0.0278,0.0256,0.0195,0.0204,0.0189,0.0192,0.017,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.55078226918226,46.611594208514084]}"
0000000000000000035b,85,82,0.0236,0.0162,0.017,0.0149,0.0519,0.0583,0,0,0.0297,0.0444,0.0085,0.0082,0.0519,0.0583,0.0297,0.0236,0.0162,0.017,0.0149,0.0129,0.0082,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.77496357464425,46.70563219063021]}"
0000000000000000035c,77,67,0.0218,0.0141,0.0151,0.0137,0.0522,0.0596,0,0,0.0267,0.0445,0.0077,0.0067,0.0522,0.0596,0.0267,0.0218,0.0141,0.0151,0.0137,0.0103,0.0073,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.762259595743,46.717520154038695]}"
0000000000000000035d,132,105,0.0248,0.0229,0.0224,0.019,0.0513,0.0538,0,0,0.0274,0.045,0.0132,0.0105,0.0513,0.0538,0.0274,0.0248,0.0229,0.0224,0.019,0.0184,0.0132,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.83432758696877,46.76381454117557]}"
0000000000000000035e,117,107,0.0189,0.0166,0.0166,0.0149,0.0474,0.045,0,0,0.0212,0.0381,0.0117,0.0107,0.0474,0.045,0.0212,0.0189,0.0166,0.0166,0.0149,0.016,0.0124,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.9165355739901,47.0060953378135]}"
0000000000000000035f,73,65,0.0141,0.0098,0.0132,0.0095,0.043,0.042,0,0,0.0169,0.0343,0.0073,0.0065,0.043,0.042,0.0169,0.0141,0.0098,0.0132,0.0095,0.0105,0.0094,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.9854911126806,46.936716184522936]}"
00000000000000000360,91,88,0.0171,0.0138,0.0153,0.0122,0.0464,0.0468,0,0,0.0206,0.0377,0.0091,0.0088,0.0464,0.0468,0.0206,0.0171,0.0138,0.0153,0.0122,0.0121,0.0109,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.91710633892494,46.997756818843555]}"
00000000000000000361,75,63,0.0139,0.0117,0.0123,0.01,0.0399,0.0373,0,0,0.0156,0.0323,0.0075,0.0063,0.0399,0.0373,0.0156,0.0139,0.0117,0.0123,0.01,0.01,0.0108,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.95761727199552,46.99775681884355]}"
00000000000000000362,63,55,0.0136,0.0121,0.0138,0.0108,0.0411,0.0384,0,0,0.0161,0.0325,0.0063,0.0055,0.0411,0.0384,0.0161,0.0136,0.0121,0.0138,0.0108,0.0108,0.0092,0,0,offShoreSediment,0,0,2021-08-29,0,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,1,"{""type"":""Point"",""coordinates"":[-90.97375475870793,46.95231412000789]}"
00000000000000000363,2943,2943,0.2916,0.279,0.2806,0.28650000000000003,0.2988,0.2869,91,0,0.27740000000000004,0.233,0.2943,0.2943,0.2988,0.2869,0.27740000000000004,0.2916,0.279,0.2806,0.28650000000000003,0.28550000000000003,0.30920000000000003,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.99333713278043,46.82551066335105]}"
00000000000000000364,3413,3194.5,0.38345,0.3677,0.3602,0.40965,0.4507,0.40975000000000006,100,0,0.37685,0.3742,0.34130000000000005,0.31945,0.4507,0.40975000000000006,0.37685,0.38345,0.3677,0.3602,0.40965,0.3437,0.5034500000000001,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.88955155576147,46.86101848503964]}"
00000000000000000365,3131,3184.5,0.31045,0.29910000000000003,0.29410000000000003,0.2947,0.31505000000000005,0.3067,100,0,0.3017,0.30125,0.3131,0.31845,0.31505000000000005,0.3067,0.3017,0.31045,0.29910000000000003,0.29410000000000003,0.2947,0.29315,0.4183,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.80798122019078,46.863698404772755]}"
00000000000000000366,4022,4143,0.3901,0.38805,0.39255,0.3771,0.3922,0.37005,100,0,0.3614,0.39485,0.4022,0.4143,0.3922,0.37005,0.3614,0.3901,0.38805,0.39255,0.3771,0.3965,0.5446500000000001,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.7859309654815,46.90711667173016]}"
00000000000000000367,5618,5111.5,0.7357500000000001,0.69345,0.6947000000000001,0.7423500000000001,0.7967500000000001,0.7481500000000001,100,0,0.68655,0.7615000000000001,0.5618000000000001,0.51115,0.7967500000000001,0.7481500000000001,0.68655,0.7357500000000001,0.69345,0.6947000000000001,0.7423500000000001,0.6879000000000001,1.1866,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.65799935625813,46.97265207991265]}"
00000000000000000368,4933,4359,0.6305000000000001,0.5668000000000001,0.5352,0.6072000000000001,0.6631,0.6205,100,0,0.5979,0.4912,0.4933,0.4359,0.6631,0.6205,0.5979,0.6305000000000001,0.5668000000000001,0.5352,0.6072000000000001,0.4834,0.7856000000000001,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.48964599598528,47.026094406038204]}"
00000000000000000369,5093,4687,0.6234000000000001,0.5901000000000001,0.5766,0.5914,0.6553,0.6103000000000001,100,0,0.5948,0.6141,0.5093,0.4687,0.6553,0.6103000000000001,0.5948,0.6234000000000001,0.5901000000000001,0.5766,0.5914,0.5595,0.8374,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.40141376344076,47.08316644042125]}"
0000000000000000036a,5860,5230,0.7745000000000001,0.7393000000000001,0.7411,0.7064,0.7879,0.7309,100,0,0.7082,0.8525,0.5860000000000001,0.523,0.7879,0.7309,0.7082,0.7745000000000001,0.7393000000000001,0.7411,0.7064,0.7346,1.2524,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.29564388645302,47.139159372349376]}"
0000000000000000036b,6701,5333,0.8766,0.7977000000000001,0.7688,0.8808,0.954,0.8986000000000001,100,0,0.8542000000000001,0.8022,0.6701,0.5333,0.954,0.8986000000000001,0.8542000000000001,0.8766,0.7977000000000001,0.7688,0.8808,0.7186,1.1673,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.07596181395395,47.19838069344019]}"
0000000000000000036c,5432,4879,0.6726000000000001,0.6428,0.6242,0.666,0.7213,0.6768000000000001,100,0,0.6412,0.6322,0.5432,0.4879,0.7213,0.6768000000000001,0.6412,0.6726000000000001,0.6428,0.6242,0.666,0.6092000000000001,0.8499,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-91.13226688295582,47.272887812942216]}"
0000000000000000036d,4198,4253,0.3835,0.3971,0.4092,0.3913,0.3914,0.3708,100,0,0.3533,0.4532000000000001,0.4198,0.4253,0.3914,0.3708,0.3533,0.3835,0.3971,0.4092,0.3913,0.4178,0.6082000000000001,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.83072017421655,46.78242682897266]}"
0000000000000000036e,6381,5599,0.7421,0.7208,0.7044,0.7287,0.7384000000000001,0.7213,100,0,0.7115,0.7272000000000001,0.6381,0.5599000000000001,0.7384000000000001,0.7213,0.7115,0.7421,0.7208,0.7044,0.7287,0.6843,1.0392,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.79123929348933,46.798649038605085]}"
0000000000000000036f,3648,4225,0.3373,0.3337,0.31970000000000004,0.3642,0.3931,0.3376,100,0,0.2974,0.5014000000000001,0.3648,0.4225,0.3931,0.3376,0.2974,0.3373,0.3337,0.31970000000000004,0.3642,0.34040000000000004,0.7239,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.78505897942927,46.79476962068859]}"
00000000000000000370,4950,4939,0.5628000000000001,0.5506,0.5468000000000001,0.5265000000000001,0.5556,0.5377000000000001,100,0,0.529,0.4831,0.4950000000000001,0.4939,0.5556,0.5377000000000001,0.529,0.5628000000000001,0.5506,0.5468000000000001,0.5265000000000001,0.5285000000000001,0.6307,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,0,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.8037693674495,46.766204619340215]}"
00000000000000000371,6443,5943,0.7948000000000001,0.7649,0.7534000000000001,0.7662,0.7992,0.7748,100,0,0.7467,0.86,0.6443,0.5943,0.7992,0.7748,0.7467,0.7948000000000001,0.7649,0.7534000000000001,0.7662,0.7478,1.2992,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.8460015135267,46.73821038292668]}"
00000000000000000372,5067,4230,0.7467,0.7067,0.6897,0.653,0.7006,0.7041000000000001,100,0,0.7059000000000001,0.7666000000000001,0.5067,0.423,0.7006,0.7041000000000001,0.7059000000000001,0.7467,0.7067,0.6897,0.653,0.675,1.1513,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.47083058729397,47.14566965988741]}"
00000000000000000373,6303,5496,0.7417,0.6878000000000001,0.664,0.7341000000000001,0.7732,0.7398,100,0,0.7149,0.6286,0.6303000000000001,0.5496,0.7732,0.7398,0.7149,0.7417,0.6878000000000001,0.664,0.7341000000000001,0.6369,0.967,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.47220399041844,47.129790801036094]}"
00000000000000000374,6113,5720,0.7189,0.6688000000000001,0.6604,0.6737000000000001,0.7096,0.6899000000000001,100,0,0.6831,0.728,0.6113000000000001,0.5720000000000001,0.7096,0.6899000000000001,0.6831,0.7189,0.6688000000000001,0.6604,0.6737000000000001,0.6508,1.1482,0,0,cloud,0,0,2021-08-29,1,0,0,SEN2,1,0,2021-08-29T00:00:00Z,ANK,0,"{""type"":""Point"",""coordinates"":[-90.51889523754907,47.12278109418008]}"
